name
"Shakespeare, William"
"Fisher, Dorothy Canfield"
"Various"
"Sinclair, Bertrand W."
"Mill, John Stuart"
"Various"
"Poston, Charles D. (Charles Debrille)"
"Sweetser, Kate Dickinson"
"Chesnutt, Charles W. (Charles Waddell)"
"Shiel, M. P. (Matthew Phipps)"
"Shakespeare, William"
"Anonymous"
"Melville, Herman"
"Bairnsfather, Bruce"
"Various"
"Various"
"Various"
"Various"
"Anonymous"
"Pinchot, Gifford"
"Defoe, Daniel"
"Shakespeare, William"
"Johnston, William"
"Anonymous"
"Symonds, John Addington"
"Cooper, James Fenimore"
"Hardley, Robert"
"Various"
"Various"
"Doyle, Arthur Conan"
"Swedenborg, Emanuel"
"Cody, Sherwin"
"Shakespeare, William"
"Sylvester, Charles Herbert"
"Unknown Author"
"Morrison, Arthur"
"Doddridge, Philip"
"Parnell, Thomas"
"United States. Work Projects Administration"
"Fowler, W. Warde (William Warde)"
"May, Sophie"
"Various"
"Dowd, Emma C."
"Shakespeare, William"
"Gregory, Lady"
"Vaknin, Samuel"
"Vaknin, Samuel"
"Verne, Jules"
"Various"
"Various"
"Jung, Nizamat, Sir"
"Various"
"Anonymous"
"Sheldon, Georgie, Mrs."
"Shakespeare, William"
"Zakrzewska, Marie E. (Marie Elizabeth)"
"American Anti-Slavery Society"
"American Anti-Slavery Society"
"American Anti-Slavery Society"
"American Anti-Slavery Society"
"American Anti-Slavery Society"
"Fiske, John"
"Budge, E. A. Wallis (Ernest Alfred Wallis), Sir"
"Balzac, Honoré de"
"Ade, George"
"Shakespeare, William"
"Holmes, Mary Jane"
"Various"
"Various"
"Dunsany, Lord"
"Various"
"Wells, H. G. (Herbert George)"
"Shakespeare, William"
"Geldart, Thomas, Mrs."
"Buffa, John"
"Barker, Edward Harrison"
"Burnett, Frances Hodgson"
"Shakespeare, William"
"Moore, George Augustus"
"Moore, George Augustus"
"Anonymous"
"Bangs, John Kendrick"
"Shakespeare, William"
"Unknown Author"
"Altsheler, Joseph A. (Joseph Alexander)"
"Various"
"McMaster, John Bach"
"Unknown Author"
"Gruelle, Johnny"
"Various"
"Gatty, Alfred, Mrs."
"Shakespeare, William"
"Various"
"Various"
"Various"
"Godwin, William"
"Benson, Stella"
"Miller, Alice Duer"
"Various"
"Mair, G. H. (George Herbert)"
"Curwood, James Oliver"
"Murray, Henry A. (Henry Anthony)"
"Shakespeare, William"
"Various"
"Various"
"Various"
"Colman, Mrs. (Pamela Chandler)"
"Unknown Author"
"Lorentz, H. A. (Hendrik Antoon)"
"Various"
"Ellis, Edward Sylvester"
"Various"
"Aesop"
"Shakespeare, William"
"Various"
"Various"
"Various"
"Various"
"Various"
"Krishnamurti, J. (Jiddu)"
"Kingsley, Charles"
"Various"
"Various"
"Cable, Boyd"
"Shakespeare, William"
"Various"
"Lincoln, Joseph Crosby"
"Bernhardi, Friedrich von"
"McPherson, J. H. T. (John Hanson Thomas)"
"Shaw, Bernard"
"Anderton, Thomas"
"Mundy, Talbot"
"Various"
"Various"
"Shakespeare, William"
"Bennett, Arnold"
"Various"
"Various"
"Hare, Christopher"
"Richardson, Samuel"
"Tilton, George Henry"
"Unknown Author"
"Eberhard, Wolfram"
"Doubleday, Russell"
"Various"
"Shakespeare, William"
"Various"
"Gaskell, Elizabeth Cleghorn"
"Oppenheim, James"
"Moffett, Cleveland"
"Unknown Author"
"Various"
"Besant, Annie"
"Blackwood, Algernon"
"Various"
"Banks, Nancy Huston"
"Wells, H. G. (Herbert George)"
"Kingsley, Charles"
"Various"
"Various"
"Various"
"Various"
"Various"
"Various"
"Various"
"Various"
"Van Dyke, Henry"
"Various"
"Allston, Washington"
"Unknown Author"
"Powell, E. Alexander (Edward Alexander)"
"Ferber, Edna"
"Johnson, Samuel"
"Yarrow, H. C. (Harry Crécy)"
"Biddulph, J. (John)"
"Carlyle, Thomas"
"O'Brien, Frederick"
"Various"
"Marshall, Edison"
"Woodhouse, Frederic W."
"Various"
"Various"
"Various"
"Various"
"Various"
"Cooper, James Fenimore"
"Wilde, Oscar"
"Holmes, Edric"
"Various"
"Various"
"Doyle, Arthur Conan"
"Williams, Albert Rhys"
"Various"
"Pye, Charles"
"Marie, de France, active 12th century"
"Lynde, Francis"
"Hughes, Rupert"
"Conrad, Joseph"
"Various"
"Burr, Agnes Rush"
"United States. Work Projects Administration"
"Henry, Alice"
"Various"
"White, Stewart Edward"
"Church, Ella Rodman"
"Various"
"Various"
"Conrad, Joseph"
"Brewer, Ebenezer Cobham"
"Gould, Hannah Flagg"
"Various"
"Unknown Author"
"Taylor, Bayard"
"Unknown Author"
"Blackwood, Algernon"
"Mower, Sarah S."
"James, Henry"
"Dunsany, Lord"
"Xavier, M."
"Various"
"Various"
"Various"
"Various"
"Various"
"Various"
"Collins, W. Lucas (William Lucas)"
"Carey, William"
"Hope, Anthony"
"Griffiths, Arthur"
"Various"
"Sturge, Joseph"
"Various"
"Various"
"Various"
"Various"
"Various"
"Fielding, Henry"
"Various"
"Unknown Author"
"Various"
"Various"
"Robinson, Albert G. (Albert Gardner)"
"Various"
"Various"
"Booth-Tucker, Frederick St. George De Lautour"
"Ralphson, G. Harvey (George Harvey)"
"Fielding, Henry"
"Le Feuvre, Amy"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Cambrensis, Giraldus"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Collingwood, Stuart Dodgson"
"United States. Work Projects Administration"
"Various"
"Various"
"Dryden, John"
"Benezet, Anthony"
"Defoe, Daniel"
"Phillips, Ulrich Bonnell"
"Various"
"Benson, E. F. (Edward Frederic)"
"Quiller-Couch, Arthur"
"Various"
"Bain, F. W. (Francis William)"
"United States. Bureau of the Census"
"Saxo, Grammaticus"
"Beach, Rex"
"Wells, H. G. (Herbert George)"
"Bacheller, Irving"
"Leacock, Stephen"
"Chesterton, G. K. (Gilbert Keith)"
"Watson, Henry C. (Henry Clay)"
"Gray, Mabel Thayer"
"Thompson, William"
"Newton, Richard"
"Unknown Author"
"Wood, Andrew Y."
"Unknown Author"
"Bridges, T. C. (Thomas Charles)"
"King, Grace Elizabeth"
"Various"
"Various"
"Graves, J. A. (Jackson Alpheus)"
"Various"
"Various"
"Unknown Author"
"Dell, Ethel M. (Ethel May)"
"Oliphant, Mrs. (Margaret)"
"Oliver, Stephen"
"Various"
"Various"
"Various"
"Fuller, Margaret"
"Unknown Author"
"Various"
"Burroughs, Edgar Rice"
"Various"
"Pardoe, Miss (Julia)"
"Allen, James Lane"
"Theocritus"
"Wilson, Harry Leon"
"Taylor, Bayard"
"Kingsley, Charles"
"Various"
"Various"
"Various"
"Lofting, Hugh"
"Various"
"Various"
"Various"
"Various"
"United States. Work Projects Administration"
"Priest, William"
"Stillman, William James"
"Grinnell, George Bird"
"Unknown Author"
"Prentiss, George Lewis"
"Christie, Agatha"
"Squires, Richard C."
"Various"
"United States. Work Projects Administration"
"Unknown Author"
"Chesterton, G. K. (Gilbert Keith)"
"Coulton, Miss"
"Verne, Jules"
"Morley, John"
"Goodrich, Samuel G. (Samuel Griswold)"
"Symonds, John Addington"
"Lewis, Sinclair"
"Chesterton, G. K. (Gilbert Keith)"
"Wright, Mabel Osgood"
"Galton, Francis"
"Havergal, Frances Ridley"
"Bloomfield, Nathaniel"
"Henty, G. A. (George Alfred)"
"Various"
"Various"
"Various"
"Various"
"Brieux, Eugène"
"Various"
"Graves, Charles L. (Charles Larcom)"
"McCutcheon, George Barr"
"Cooper, James Fenimore"
"Bennett, John"
"Various"
"Lamb, Mary"
"Various"
"Dryden, John"
"Scott, Robert Falcon"
"Tarkington, Booth"
"Jackson, George"
"Lowndes, Marie Belloc"
"Baldwin, James"
"Cooper, Michael D."
"Gibbs, George"
"Sedgwick, Susan Anne Livingston Ridley"
"Pack, Charles Lathrop"
"Rohmer, Sax"
"Unknown Author"
"Hough, Emerson"
"Stillman, William James"
"Anonymous"
"Hanna, Abigail Stanley"
"London, Jack"
"Pardoe, Miss (Julia)"
"Pardoe, Miss (Julia)"
"Ballantyne, R. M. (Robert Michael)"
"Gissing, George"
"Various"
"Chesterton, G. K. (Gilbert Keith)"
"Various"
"Cassius Dio Cocceianus"
"Bell, Lilian"
"Henty, G. A. (George Alfred)"
"London, Jack"
"Le Fanu, Joseph Sheridan"
"Various"
"Various"
"Various"
"Phillips, David Graham"
"Brown, Goold"
"Various"
"Various"
"Beers, Henry A. (Henry Augustin)"
"Various"
"London, Jack"
"Franklin, Miles"
"Scott, Walter"
"Glyn, Elinor"
"Wilson, Harry Leon"
"Benson, Robert Hugh"
"Unknown Author"
"Gosse, Edmund"
"Various"
"London, Jack"
"Various"
"Various"
"Webster, Thomas"
"Wagner, Richard"
"Wallas, Graham"
"Le Fanu, Joseph Sheridan"
"Various"
"Various"
"Various"
"Cabell, James Branch"
"London, Jack"
"Wells, H. G. (Herbert George)"
"Bennett, Arnold"
"Home, Gordon"
"Trollope, Anthony"
"Various"
"Various"
"Various"
"Unknown Author"
"Various"
"Various"
"Various"
"Moore, George Augustus"
"Comfort, Will Levington"
"Doyle, Arthur Conan"
"Unknown Author"
"Unknown Author"
"Unknown Author"
"Smith, Mabell S. C. (Mabell Shippie Clarke)"
"Peabody, Josephine Preston"
"Various"
"Frey, Hildegard G."
"Russell, George William Erskine"
"Chesnutt, Charles W. (Charles Waddell)"
"Abbott, Jacob"
"Curwood, James Oliver"
"Green, Anna Katharine"
"Various"
"Stockton, Frank Richard"
"Hecker, Eugene A. (Eugene Arthur)"
"Muir, John"
"Blasco Ibáñez, Vicente"
"Le Gallienne, Richard"
"Schurman, Jacob Gould"
"Burke, Kathleen"
"Duncan, Sara Jeannette"
"Cooke, George Willis"
"Abbott, Jacob"
"Gibbs, Philip"
"Lillibridge, Will"
"Sienkiewicz, Henryk"
"Various"
"Abbott, Jacob"
"Miller, Alice Duer"
"Xenophon"
"Goodloe, Abbe Carter"
"Wren, Percival Christopher"
"Unknown Author"
"Unknown Author"
"Murray, James Augustus Henry, Sir"
"Various"
"Wells, H. G. (Herbert George)"
"Blasco Ibáñez, Vicente"
"Sinclair, May"
"Le Fanu, Joseph Sheridan"
"Beethoven, Ludwig van"
"Xenophon"
"Le Fanu, Joseph Sheridan"
"Kent, Charles Foster"
"Ford, Henry Jones"
"Wyss, Johann David"
"Various"
"Various"
"Various"
"Various"
"Hay, John"
"United States. Work Projects Administration"
"Xenophon"
"Various"
"Hall, Tom"
"Various"
"Unknown Author"
"Wright, Harold Bell"
"Mitrany, David"
"Robins, Edward"
"Frey, Hildegard G."
"Cable, George Washington"
"Xenophon"
"Braddon, M. E. (Mary Elizabeth)"
"Unknown Author"
"Monteith, James"
"Church, Ella Rodman"
"Ferrall, S. A. (Simon Ansley)"
"Various"
"Various"
"Putnam, George Haven"
"Boswell, James"
"Xenophon"
"Davis, Richard Harding"
"Hutchins, Cortelle"
"Various"
"Moore, George Augustus"
"Various"
"Various"
"Various"
"Colette"
"Dandin, active 7th century"
"Xenophon"
"Various"
"Various"
"Various"
"Various"
"Various"
"Roosevelt, Theodore"
"Gregory, Lady"
"Xenophon"
"Le Fanu, Joseph Sheridan"
"Various"
"Cabell, James Branch"
"Michelson, Albert A. (Albert Abraham)"
"Fagg, John Gerardus"
"Bianco, Margery Williams"
"Darling, Esther Birdsall"
"Bangs, John Kendrick"
"Xenophon"
"Unknown Author"
"Various"
"Various"
"Various"
"Various"
"Lauder, Harry, Sir"
"Johnson, Samuel"
"Xenophon"
"Church, R. W. (Richard William)"
"Savigny, Jean Baptiste Henri"
"Withers, Hartley"
"Xenophon"
"Xenophon"
"Electronic Frontier Foundation"
"Xenophon"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Xenophon"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Rohmer, Sax"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Rohmer, Sax"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Dumas, Alexandre"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Draper, John William"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Library of Congress. Copyright Office"
"Betham, Matilda"
"Haworth, Paul Leland"
"Child, Lydia Maria"
"Meynell, Alice"
"Sewell, Anna"
"Whipple, Wayne"
"Various"
"Various"
"Various"
"Various"
"Defoe, Daniel"
"Curwood, James Oliver"
"Various"
"Disraeli, Benjamin, Earl of Beaconsfield"
"London, Jack"
"Wells, H. G. (Herbert George)"
"Various"
"Various"
"Swinburne, T. R."
"Jefferies, Richard"
"Dobie, Charles Caldwell"
"Sinclair, May"
"Unknown Author"
"Colum, Padraic"
"Stoker, Bram"
"Brand, Max"
"Altsheler, Joseph A. (Joseph Alexander)"
"Haggard, H. Rider (Henry Rider)"
"Burt, Emily Rose"
"Various"
"Various"
"Various"
"Various"
"Richardson, Samuel"
"Balzac, Honoré de"
"Webster, Frank V."
"Pink, Alfred"
"Unknown Author"
"Angell, Norman"
"Wright, Mabel Osgood"
"Bühler, Georg"
"Unknown Author"
"Twain, Mark"
"James, Henry"
"Glyn, Elinor"
"Barrie, J. M. (James Matthew)"
"Burslem, Rollo Gillespie"
"Various"
"Chambers, Robert W. (Robert William)"
"Bragdon, Claude Fayette"
"Various"
"Various"
"Webster, Frank V."
"Congreve, William"
"Various"
"Benson, Arthur Christopher"
"Richmond, Grace S. (Grace Smith)"
"Haggard, H. Rider (Henry Rider)"
"Burgess, Thornton W. (Thornton Waldo)"
"Lawless, Emily"
"Weyman, Stanley John"
"Various"
"Congreve, William"
"United States. Work Projects Administration"
"Various"
"Bill, Ledyard"
"Lyth, J. (John)"
"Archer, W. G. (William George)"
"Rush, Richard"
"Various"
"James, Henry"
"Ade, George"
"Naylor, H. R."
"Various"
"Earle, Augustus"
"Finck, Henry Theophilus"
"Spurgeon, Caroline F. E. (Caroline Frances Eleanor)"
"Herr, Charlotte B. (Charlotte Bronte)"
"Mackey, Albert Gallatin"
"Bompas, Cecil Henry"
"Jordan, David Starr"
"Rougemont, Louis de"
"Roosevelt, Theodore"
"Roosevelt, Theodore"
"Roosevelt, Theodore"
"Roosevelt, Theodore"
"Schopenhauer, Arthur"
"Le Sage, Alain René"
"Aldrich, Mildred"
"Hakluyt, Richard"
"Unknown Author"
"James, Henry"
"University of Pennsylvania. Seybert Commission for Investigating Modern Spiritualism"
"Guizot, François"
"Guizot, François"
"Guizot, François"
"Guizot, François"
"Guizot, François"
"Guizot, François"
"Cooper, James Fenimore"
"Various"
"Southall, Eliza Allen"
"Balzac, Honoré de"
"Rhodes, Eugene Manlove"
"Altsheler, Joseph A. (Joseph Alexander)"
"Beers, Clifford Whittingham"
"Various"
"Royden, A. Maude (Agnes Maude)"
"Symons, John C. (John Christian)"
"O'Brien, Seumas"
"Gogol, Nikolai Vasilevich"
"Brame, Charlotte M."
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Wallace, W. Stewart (William Stewart)"
"Ellis, Edward Sylvester"
"Cowper, William"
"Boldrewood, Rolf"
"Graham, Stephen"
"Unknown Author"
"Stanton, Elizabeth Cady"
"Gent, Thomas"
"James, William"
"Unknown Author"
"Unknown Author"
"Train, Arthur Cheney"
"Blackwood, Algernon"
"Carter, Nicholas (House name)"
"Unknown Author"
"Head, Franklin H. (Franklin Harvey)"
"Dodge, Mary Mapes"
"Biggs, Charlotte"
"Biggs, Charlotte"
"Biggs, Charlotte"
"Biggs, Charlotte"
"Biggs, Charlotte"
"Stables, Gordon"
"Furman, Lucy S."
"Kennedy, Charles Rann"
"Carroll, Lewis"
"Stevenson, Robert Louis"
"Rabelais, François"
"Burritt, Elihu"
"Morley, John"
"Grote, George"
"Mill, John Stuart"
"Havell, E. B. (Ernest Binfield)"
"Unknown Author"
"Spooner, Lysander"
"Williams, Cora Lenore"
"Palmer, Frederick"
"Cibber, Theophilus"
"Parrish, Randall"
"Mühlbach, L. (Luise)"
"Various"
"Various"
"Mühlbach, L. (Luise)"
"Conrad, Joseph"
"Wilcox, Ella Wheeler"
"Sanborn, Kate"
"Dowsett, C. F. (Charles Finch)"
"Various"
"Payn, James"
"Unknown Author"
"Freeman, John"
"Darrow, Clarence"
"Freeman, R. Austin (Richard Austin)"
"Conway, Moncure Daniel"
"Hope, Anthony"
"Steele, Richard, Sir"
"De la Mare, Walter"
"De la Mare, Walter"
"Russell, Ruth"
"Cohen, Reuben"
"Fowler, Thomas"
"Richardson, Benjamin Ward"
"Chesterton, G. K. (Gilbert Keith)"
"Moses, Montrose Jonas"
"Fletcher, John"
"Bower, B. M."
"Beaumont, Francis"
"Blasco Ibáñez, Vicente"
"Byrum, Isabel C. (Isabel Coston)"
"Various"
"Birney, Catherine H."
"Waters, Clara Erskine Clement"
"King, Philip Parker"
"Jameson, Mrs. (Anna)"
"Pike, H. Lee M. (Henry Lee Mitchell)"
"Wilson, Jennie L. (Jennie Lansley)"
"Meynell, Alice"
"Johnson, Samuel"
"Verne, Jules"
"Swisshelm, Jane Grey Cannon"
"Various"
"United States. Work Projects Administration"
"Newman, Francis William"
"Major, Charles"
"Unknown Author"
"Unknown Author"
"Bower, B. M."
"Unknown Author"
"Cassius Dio Cocceianus"
"Van Doren, Alice B. (Alice Boucher)"
"Various"
"Roberts, Emma"
"Various"
"Stockton, Frank Richard"
"Knox, Thomas Wallace"
"Tilden, Joe"
"Haggard, H. Rider (Henry Rider)"
"Ryan, Agnes E."
"Walpole, Horace"
"Walpole, Horace"
"Unknown Author"
"Worcester, Dean C. (Dean Conant)"
"Johnston, Charles"
"Various"
"London, Jack"
"Bolton, Sarah Knowles"
"Webster, Bob"
"Farrar, F. W. (Frederic William)"
"Garrison, Adele"
"Besant, Annie"
"Unknown Author"
"Various"
"Brooks, Stratton D. (Stratton Duluth)"
"Kipling, Rudyard"
"Prescott, William Hickling"
"Cibber, Theophilus"
"Stewart, Jane L."
"Church, R. W. (Richard William)"
"Keller, Helen"
"Unknown Author"
"Yonge, Charlotte M. (Charlotte Mary)"
"Nitobe, Inazo"
"Various"
"Fletcher, John"
"Woman's Press Club of New York City"
"Austen, Jane"
"Hearn, Lafcadio"
"Howells, William Dean"
"Brawley, Benjamin Griffith"
"Bacheller, Irving"
"Potter, Beatrix"
"Holmes, Mary Jane"
"Lorimer, George Horace"
"Various"
"Caldecott, Randolph"
"Herrick, Robert"
"Fletcher, John"
"Unknown Author"
"Goldfrap, John Henry"
"Various"
"Stokes, John Lort"
"Hoffmann, Heinrich"
"Various"
"Austen, Jane"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Twain, Mark"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Various"
"Labat, maître d'armes"
"Willoughby, Westel Woodbury"
"Steiner, Bernard C. (Bernard Christian)"
"Bower, B. M."
"Rinehart, Mary Roberts"
"Cato, Marcus Porcius"
"Fletcher, John"
"Traill, H. D. (Henry Duff)"
"Royová, Kristína"
"Various"
"Wordsworth, William"
"Stokes, John Lort"
"Various"
"Unknown Author"
"Balzac, Honoré de"
"Francis, M. E."
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Babbage, Charles"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Williams, William Klapp"
"Wells, H. G. (Herbert George)"
"Richmond, Grace S. (Grace Smith)"
"Dryden, John"
"Kalidasa"
"Wiggin, Kate Douglas Smith"
"Curwood, James Oliver"
"Unknown Author"
"Stretton, Hesba"
"Calderón de la Barca, Pedro"
"Orczy, Emmuska Orczy, Baroness"
"Johnston, Annie F. (Annie Fellows)"
"Peattie, Elia Wilkinson"
"Quick, Herbert"
"Packard, Frank L. (Frank Lucius)"
"Richardson, Samuel"
"Ward, Humphry, Mrs."
"Kinzie, John H., Mrs."
"Bell, Lilian"
"Huard, Frances Wilson"
"Mackey, Albert Gallatin"
"Freeman, R. Austin (Richard Austin)"
"Miles, Anna Marie"
"Knibbs, Henry Herbert"
"Meredith, George"
"Stockton, Frank Richard"
"Crockett, S. R. (Samuel Rutherford)"
"Bower, B. M."
"Foss, James Henry"
"Turgenev, Ivan Sergeevich"
"Eggleston, Edward"
"Phillips, Henry Wallace"
"Phillips, Henry Wallace"
"Various"
"Catherwood, Mary Hartwell"
"Hardy, Thomas"
"Balzac, Honoré de"
"Delaumosne"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Coulter, John Merle"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Jacobs, W. W. (William Wymark)"
"Ellms, Charles"
"Fetter, Frank A. (Frank Albert)"
"Greg, W. W. (Walter Wilson)"
"Cobb, Irvin S. (Irvin Shrewsbury)"
"Noyes, Alfred"
"Fletcher, John"
"Fletcher, John"
"Various"
"Whitney, A. D. T. (Adeline Dutton Train)"
"Grey, Zane"
"Dorr, Rheta Childe"
"Anonymous"
"Long, C. C."
"Benson, B. K. (Blackwood Ketcham)"
"Balzac, Honoré de"
"Various"
"Various"
"Henderson, G. F. R. (George Francis Robert)"
"Trollope, Anthony"
"Stimson, Frederic Jesup"
"Manly, William Lewis"
"Kellogg, E. E. (Ella Ervilla)"
"Fletcher, J. S. (Joseph Smith)"
"Mims, Edwin"
"Little, Frances"
"Dickinson, Emily"
"Dickinson, Emily"
"Bouton, John Bell"
"Birrell, Augustine"
"Chesterton, G. K. (Gilbert Keith)"
"Walton, O. F., Mrs."
"Riddle, A. G. (Albert Gallatin)"
"Tyndall, John"
"Swift, Jonathan"
