author
Jefferson, Thomas
Levi
Gregory, Owen
Roberts, Edmund
Sieveking, I. Giberne (Isabel Giberne)
Allen, Jay Winthrop
Tridon, André
Bilguer, Johann Ulrich
Hudson, G. V. (George Vernon)
Alderman, L. R. (Lewis Raymond)
Morrison, Marion
MacArthur, Margaret
Nelson, William S.
Sloan, John A. (John Alexander)
Polybius
Mason, Alfred Bishop
Williams, Adene
Stewart, Caroline Taylor
Huldermann, Bernhard
Wundt, Wilhelm Max
Belcher, Joseph
Masten, V. M. (Vincent Myron)
Dix, Beulah Marie
Crosby, Frank
Jefferies, Thomas C.
Putnam, G. R. (George Rockwell)
Melville, Velma Caldwell
Macauley, C. R. (Charles Raymond)
Baker, Ray Stannard
Upham, Samuel C. (Samuel Curtis)
Fowler, Charles, Jr.
Byron, John
Metchnikoff, Olga
Murray, Stewart Lygon
Roberts, David
Gregg, Josiah
Robinson, John
National Conference on Workmen's Compensation for Industrial Accidents
Aladel, Jean Marie
Schwink, Otto
Saltykov, Mikhail Evgrafovich
Bayles, W. Harrison (William Harrison)
Smith, Harry James
Seymour, Thomas D. (Thomas Day)
Yüan, Yung-lun
Sealsfield, Charles
Adcock, Arthur St. John
Morse, Edward Sylvester
Woods, Caroline H.
Rice, George Graham
Buc'hoz, Pierre-Joseph
Tyerman, L. (Luke)
Dunlop, William
Hogan, Ben (Benedict)
Jarves, Deming
Castle, Agnes
Barbour, John
Fantus, Bernard
Mirbeau, Octave
Taylor, Meadows
Fuller, Alvarado M. (Alvarado Mortimer)
Gilliat-Smith, Ernest
Munsell, Ida Hamilton
Arlidge, J. T. (John Thomas)
Lounsbery, Elizabeth
Duckworth, W. L. H. (Wynfrid Laurence Henry)
Richter, Luise
Pegge, Samuel
Heywood, Arthur Percival, Sir, bart.
Ritson, Mrs. (Anne)
Gannon, W.
Fielding, Jane
Evans, Henry Ridgely
Dean, Graham M.
Newton, A. Edward (Alfred Edward)
Bowes, Joseph
Hanguillart, André Godefroy Lionel
Thorpe, William Henry
Cuthell, Edith E.
Maskell, Henry Parr
Gourmont, Remy de
Driesch, Hans
Williams, Leonard
Gray, John Alfred
Clopper, Edward Nicholas
Robertson, Keith
Cook, William Wallace
Johnston, Arthur
Harris, Maurice H. (Maurice Henry)
Wilson, Rufus Rockwell
Waite, C. V. (Catherine Van Valkenburg)
Huntington, George
Wigram, W. A. (William Ainger)
Williams, Frances Fenwick
Brabourne, Edward Hugessen Knatchbull-Hugessen, Baron
Hanson, Charles Henry
Chateaubriand, François-René, vicomte de
Quatrelles
Mary-Lafon, Jean Bernard Lafon, called
Smith, Justin Harvey
Hood, Tom
Martin, Minnie
Strange, Edward Fairbrother
Longstreet, Helen Dortch
Hodgson, Randolph Llewellyn
Bennett, R. A. R. (Reginald Arthur Renaud)
Zahm, Albert Francis
East, Timothy
Decle, Lionel
Rogers, Woodes
Conover, Mary Roberts
Cox, Stephen Angus
Patterson, Alexander
Yule, Adam
Wigram, Edgar Thomas Ainger
Buckle, Henry Thomas
Warburton, Cecil
Le Bon, Gustave
Baxter, Leon H.
Shepherd, C. K.
Nock, Albert Jay
Zerffi, G. G. (Gustavus George)
Bolwell, F. A.
Beale, Charles Willing
Gardner, John Starkie
Mitchell, C. Ainsworth (Charles Ainsworth)
Clarke, William
Ure, Andrew
Turpin, F. H. (François Henri)
Bayne, A. D.
Boyer, Charles S. (Charles Sumner)
Uzanne, Octave
McQueen, Anne
Turner, Edward Raymond
Swain, E. G. (Edmund Gill)
Bateson, William
O'Shaughnessy, Edith
Waterbury, Mary F.
Goldsmid, Edmund
Cuvru-Magot, Henriette
Irving, H. B. (Henry Brodribb)
Wight, Emma Howard
Doughty, Frank W.
Beedham, R. J.
Saunders, Kenneth J. (Kenneth James)
Babur, Emperor of Hindustan
Hanson, J. H. (Joseph Have)
McDonald, N. A. (Noah A.)
Darwin, Bernard
Nilsson, Victor Alfred
MacFarlane, Peter Clark
Fox, Frances Margaret
Folkard, Richard
Selmer, Louis
Walker, James B. (James Barr)
Collier, Jeremy
Lacock, John Kennedy
Lane, George Martin
Waugh, W. F. (William Francis)
Gillette, William
Leech, John
Wayne, Dorothy
Ahlborn, Richard E.
Deignan, H. G. (Herbert Girton)
Smyth, H. Warington (Herbert Warington)
Fulton, Frances I. Sims
Ritchie, Robert Welles
Stephens, Henry
Blank, Clair
Pearse, Ebenezer
Murison, Alexander Falconer
Hodder, Reginald
Langworthy, Daniel Avery
White, James
Miller, Gerrit S. (Gerrit Smith)
Peck, Thomas
Rivers, W. H. R. (William Halse Rivers)
Gilman, Elizabeth Hale
Vickers, Leslie
Channing, William Ellery
Dutton, Louie M. Knight
Magnus, Hugo
Taylor, Benjamin F. (Benjamin Franklin)
Stendhal
Maher, Zena A.
Warner, Charles Franklin
Kohn, Eugene
Shaw, Donald, late captain
Stearns, Charles (Abolitionist)
Archer, Effie Archer
Verance, Percy
Catlin, George
Wood, George L.
True, Frederick W. (Frederick William)
Ministers and Elders of the London Provinciall Assembly
Buffon, Georges Louis Leclerc, comte de
Hole, S. Reynolds (Samuel Reynolds)
Pym, Horace N.
Chinnery, William
Boyd, James P. (James Penny)
Forman, Samuel S.
Benton, Thomas Hart
Arthur, James
Hosie, Alexander, Sir
Arnott, Samuel
Waterman, Amy Harlow (Lane), Mrs.
Tylor, Alfred
Lamplough, Edward
Hine, Charles De Lano
Southworth, Gertrude Van Duyn
Richardson, Albert D. (Albert Deane)
Scott, Michael
Strabo
Flandrau, Charles Macomb
Johnston, David E. (David Emmons)
Bouchot, Henri
Rochester, John Wilmot, Earl of,
Hall, H. R. Wilton
Maunsell, Robert
Carmel, John Prosper
Healy, Mary Tenney
Brough, Robert B. (Robert Barnabas)
Hooton, Charles
Jerrold, Douglas William
Herbart, Johann Friedrich
Pratt, Orson
Godfrey, Elizabeth
Perry, Edward Baxter
Rooke, Octavius
Craik, Georgiana M. (Georgiana Marion)
Brown, Margaret
Samuel, Horace Barnett
Jensen, Wilhelm
Bartlett, Steven J.
Brightwell, C. L. (Cecilia Lucy)
Harbison, Massy
International Eugenics Congress (1st : 1912 : London)
Haldane, Elizabeth Sanderson
Lyons, A. Neil (Albert Neil)
Greene, George Washington
Vineyard, Thomas Elbert
Cunningham, W. (William)
Kieffer, Henry Martyn
Gould, Elizabeth Porter
H. L. L.
Fowler, Harold North
Davies, John, Sir
Abbott, Wilbur Cortez
Newman, E. M. (Edward Manuel)
Harden, Arthur
Stieglitz, Julius
Lambourne, Alfred
Sleeman, Charles William
Forde, Gertrude
Dick & Fitzgerald
Fletcher, Horace
Bunin, Ivan Alekseevich
Sleffel, Charles Conrad
Smith, Joseph, Jr.
France, Lewis B.
Latimer, Charles
Allen, Stanton P.
Parkin, George R. (George Robert)
Snow, Charles H. (Charles Henry)
Adams, John G. (John Greenleaf)
Chotzner, J. (Joseph)
Haven, Joseph
Ross, Percy
Southworth, May E. (May Elizabeth)
Cannon, George Q. (George Quayle)
Shirley, James
Clayton, William
Phelips, Vivian
Smith, Joseph Fielding
Percival, Andrew
Fraser, Thurlow
Gentry, Thomas G. (Thomas George)
Green, Samuel G. (Samuel Gosnell)
Hine, C. C. (Charles Cole)
Whitehead, L. (Lewis)
Budlong, Maud Gridley
Howe, Robert Harrison
Taylor, G. Winifred (Gertrude Winifred)
Dixon, Billy
Bromet, William
Methley, Alice A.
Metcalf, A.
Douglas, Norman
Kennedy, Sinclair
Hodgson, Fred. T. (Frederick Thomas)
Pycraft, W. P. (William Plane)
Hall, Bolton
Clarke, Geoffrey
Prime, Samuel Irenæus
Davis, Foxcroft
Martin, Percy F. (Percy Falcke)
Stacpoole, William Henry
Meynell, Everard
Eaton, Daniel Cady
Dos Passos, John R. (John Randolph)
Lewis, Isabel Martin
Bakewell, Frederick C. (Frederick Collier)
Sherman, Charles
Clark, Samuel Evans
Gorges, Mary
Herford, R. Travers (Robert Travers)
Croston, James
Miller, Mary Rogers
Grover, Eulalie Osgood
Jami
Jalal al-Din Rumi, Maulana
Hazard, Rowland Gibson
Arthington, Maria
Quaritch, Bernard
Richardson, Rufus B. (Rufus Byam)
Peeke, Hewson L. (Hewson Lindsley)
American Railway Association
Hope, W. H. St. John (William Henry St. John), Sir
Lewis, Charles Lee
Sun, Yat-sen
Schliemann, Heinrich
Hardenburg, W. E. (Walter Ernest)
Adams, John
Durham, Robert Lee
McAlister, Hugh
Marston, John
Jardine, Frank Lascelles
Whitney, Ernest
Houghton, Louise Seymour
Handcock, Percy S. P. (Percy Stuart Peache)
Tousley, Victor H. (Victor Hugo)
Hewitt, William, active 19th century
Booth, Maud Ballington
Hopkins, Albert A. (Albert Allis)
Wyeth, John B. (John Bound)
Liebig, Justus, Freiherr von
Beals, Christine
Hopkins, Cyril G. (Cyril George)
Bastin, S. Leonard
Roberts, George Edwin
Chaikovskii, Modest
Duncan, Julia K.
Lewandowski, Maurice
Kellogg, Frederic B.
Hodges, Elizabeth, active 1895-1897
Williams, Alfred M. (Alfred Mason)
Larned, W. T. (William Trowbridge)
Des Niau
Bramble, Charles A.
Tennyson, Hallam Tennyson, Baron
Peel, Robert
Douglas, Alfred Bruce
Goodkind, Ben
Morley, Thomas
Cooper, A. Heaton (Alfred Heaton)
Hawker, Robert Stephen
Breckinridge, John
Peele, John (John R.)
Westrup, Margaret
Woodhull, John F. (John Francis)
Middleton, J. H. (John Henry)
Whitwell, Edward Robson, Mrs.
Paul, Alexander (Instructor in feather dyeing)
Maxim, Hiram S. (Hiram Stevens)
Caron, Pierre, active 1886-1899
Kingston, Charles
Harting, Pieter
Dunton, James G. (James Gerald)
Boynton, Percy Holmes
Waite, Fred
Stirling, Willam
Haworth, M. E. (Martin E.)
Lane, Charles Henry
White, Annie Randall
Read, Thomas Buchanan
Adderup, Andrew
Woods, Kate Tannatt
Gibson, George Herbert
Paris, John Ayrton
Grogan, Ewart Scott
Eric, Allan
Dow, Arthur W. (Arthur Wesley)
Brown, Edwin A.
Francillon, R. E. (Robert Edward)
Peabody, Frederick William
Fishburne, William Brett
Schweitzer, Albert
Renard, Georges François
Berry, Flora E.
S. W. Partridge & Co. (London, England)
Mosby, John Singleton
Kickapoo Club
Gehrts, Meg
Spindler, Karl
Howard, Police Captain
Napoleon III, Emperor of the French
Villari, Pasquale
DuPuy, William Atherton
Connors, Chuck
Wallace, William Ross
Baker, Emilie K. (Emilie Kip)
Raymond, P. T.
Craine, E. J. (Edith Janice)
Rennie, James
Parlette, Ralph Albert
Maxfield, Albert
Nisbet, Hume
Finlayson, George
Sinks, Perry Wayland
Adams, Katharine
Laclos, Choderlos de
Watkins, Lucian Bottow
Thomas, Abel C. (Abel Charles)
Harkins, E. F. (Edward Francis)
Butler, Robert
Drews, Arthur
Prindle, Edwin J. (Edwin Jay)
Finze, Kate John
Colman, Miss (Pamela Atkins)
Hiatt, Charles
Davis, Katherine Wallace
Lathrop, David
Seiffert, Marjorie Allen
Darroch, G. R. S.
Alexander, James W. (James Waddel)
Dodd, Ira Seymour
Stannus, Graydon, Mrs.
Norton, Allen
Peterson, Hannah Mary (Bouvier)
Brunner, Josef
Gage, Matilda Joslyn
Burrows, C. W.
Greenwood, James
Garnier, Jules
Moore, Nelle E.
Montagu, Edward Wortley
Randall, F. J. (Frederick John)
Ely, Helena Rutherfurd
French, Samuel Gibbs
Martinek, Frank V. (Frank Victor)
Smith, Lucy
Rickard, Jessie Louisa Moore
Sweeney, Alexander
Northup, Solomon
Davies, W. H. (William Henry)
Knott, Laura A. (Laura Anna)
Tree, Iris
Charnay, Désiré
Dacus, J. A. (Joseph A.)
Herrington, Walter Stevens
Pichatty de Croislainte
McKnight, Hiram Peck
Crane, J. T. (Jonathan Townley)
Guthrie, Ellen Emma
Kildare, Owen
Pool, Maria Louise
Cowan, James
Browne, Robert T.
Davis, Henry George
Spon, Ernest
Barber, James, active 1837-1839
Fraser, C. F., Mrs.
Hissey, James John
Matthews, Albert
Carpenter, Alfred Francis Blakeney
Davis, F. Hadland (Frederick Hadland)
Quirk, Leslie W.
Noël Hume, Ivor
New-York Historical Society
Cole, Thomas R. (Thomas Raymond)
Collie, Norman
Burch, Frederick S.
Brissenden, Paul F. (Paul Frederick)
Chevalier, Michel
Barbé, Louis A.
Norway, G. (George)
Polkinghorne, R. K. (Ruby Kathleen)
Paoli, Xavier
Rogers, Mary Cochrane
Langbaine, Gerard
Gravengaard, N. P. (Niels Peter)
Adams, William Alexander
Sawyer, Edith A. (Edith Augusta)
Marquis, Don
Webb, Marion St. John
Barbier, Jules
Goddard, E. H. (Edward Hungerford)
Root, Esther Sayles
Kittredge, George Lyman
Payne, William Morton
Newman, Charles Robert
Denis, Hector
Austrian, Delia
Coit, Adelin Balch
De Teresa, Ysabel
Shedd, E. Cutler (Ephraim Cutler)
Spencer, Orson
Flint, Robert
Mercer, Henry C.
Bryan, George
Vandérem, Fernand
Allen, E. P. S.
Cornelius, Mrs. (Mary Hooker)
Williams, P. B. (Peter Bailey)
Roberts, S. C. (Sydney Castle)
Phillipps-Wolley, Clive
Mücke, Hellmuth von
Benson, James W., active 1857-1887
Clinch, George
Kirwan, Thomas
United States. Bureau of Naval Personnel
Silloway, Thomas W. (Thomas William)
Jeans, T. T. (Thomas Tendron)
Crosthwaite, C. H. T. (Charles Haukes Todd)
Candolle, Alphonse de
Reed, Charles K. (Charles Keller)
König, Paul
Cobbold, T. Spencer (Thomas Spencer)
Freese, Jacob R.
Elliot, G. F. Scott (George Francis Scott)
Hay, Malcolm V. (Malcolm Vivian)
Slauson, Harold Whiting
Bewsher, Frederick William
Andrews, Lincoln C. (Lincoln Clarke)
Meyers, Augustus
Morgan, Lewis Henry
Orchard, W. E. (William Edwin)
Meadowcroft, Wm. H. (William Henry)
Miller, David
Baudesson, Henry
Ingersoll, R. Sturgis (Robert Sturgis)
Loeb, Jacques
Freshfield, Douglas William
Ackland, T. S. (Thomas Suter)
Grego, Joseph
Neally, Amy
Haycraft, John Berry
Postnikov, Fedor Alexis
Spohr, Louis
Duffield, A. J. (Alexander James)
Dalziel, D. (Davison)
Sparre, Christian
Nicolas, Nicholas Harris, Sir
Peacock, Virginia Tatnall
Hall, George, rector of Ruckland, Lincolnshire
Russell, C. T. (Charles Taze)
Hannah, Ian C.
Beyer, H. Otley (Henry Otley)
Munford, Beverley B. (Beverley Bland)
Woodruff, Wilford
Lauridsen, Peter
Kepler, Johannes
Aston, W. G. (William George)
Günther, Marie A., countess
Stern, G. B. (Gladys Bronwyn)
Quiroga, Horacio
Dixon, Charles
Saxe, Mary S. (Mary Sollace)
Maynard, C. J. (Charles Johnson)
Caulfeild, Vivian
Matthews, Stanley R.
Poole, Reginald Lane
Haddon, Alfred C. (Alfred Cort)
Wood, Frances Ann
Boucicault, Dion
Potter, Olave M. (Olave Muriel)
Bazancourt, César Lecat, baron de
Brooke, Henry Francis
Hogue, Oliver
Daniels, Mabel W. (Mabel Wheeler)
Le Sueur, Gordon
Collier, Dorothy Josephine
Bright, Charles, Sir
Macbeth, Ann
Willard, Dr.
L.
Craigie, William A. (William Alexander), Sir
Lane, Rose Wilder
Husband, Joseph
Patterson, John
Howard, Ebenezer, Sir
Rhead, G. Woolliscroft (George Woolliscroft)
Buckstone, John Baldwin
Smith, Erminnie A. (Erminnie Adele)
Henry, Thomas
Platt, Mary Schauffler
Turberville, Arthur Stanley
Stone, Gertrude L. (Gertrude Lincoln)
Wheeler, James Talboys
Felix, Charles
Thornber, J. J. (John James)
Reade, Arthur
Roberts, F. A.
Auchincloss, W. S. (William Stuart)
Wilmot, Alexander
Great Britain. Sovereign
Watson, William, Sir
Camp, Samuel G. (Samuel Granger)
Vernon, Robert O. (Robert Orion)
Chase, Hiram
Mickley, Jeremiah Marion
Molnár, Ferenc
McAuley, Mary Ethel
Bush, Bertha Evangeline
Albertson, Ralph
Barron, Edward
Burnes, James
North, Sterling
Ford Motor Company
Pleon, Harry
Hyde, Orson
Gordon, George Stuart
Dane, Edmund (Military historian)
Straus, Ralph
Walker, John Bernard
Pückler-Muskau, Hermann, Fürst von
Ordonneau, Maurice
Maule, Harry E. (Harry Edward)
Matthews, W. H.
Baker, Elizabeth
Hale, Sarah Josepha Buell
Miller, Madeleine S. (Madeleine Sweeny)
Walters, H. B. (Henry Beauchamp)
Headlam, Cecil
Smith, Frank L.
Say, Thomas
Bateman, Jas. (James)
Beatson, A. M.
Provost, Maxime
Richardson, Merrick Abner
Union Pacific Railroad Company
Monkhouse, Allan
Winslow, Carroll Dana
Bell, F. McKelvey (Frederick McKelvey)
Lynch, Hannah
Anderson, Edward L. (Edward Lowell)
Chicago, Milwaukee, St. Paul, and Pacific Railroad Company
McWatters, George S.
Rice, Franklin P. (Franklin Pierce)
Bland, John Salkeld
Inman, Herbert
Hallays, André
Tiplady, Thomas
Ruxton, George Frederick Augustus
Robb, John S.
Daniel, George
MacRory, Joseph
Goodwin, Nat. C. (Nathaniel Carll)
Hewitt, John
Merchant, Thomas Edward
Salant, William
Beasley, T. D. (Thomas Dykes)
Ward, Walter W.
Collins, E. Burke, Mrs.
Dean, Arthur D. (Arthur Davis)
Torrey, William
Perrin, William Gordon
Goodrich, Frank B. (Frank Boott)
Reed, Edward Tennyson
Mumford, John Kimberly
Wright, F. B. (Frederic B.)
Wheelock, Eleazar
Woolley, L. H. (Lell Hawley)
Shaw, Leslie M. (Leslie Mortier)
Richardson, Norval
Lake, Simon
Wiel, Alethea
Davis, John Francis
Macy, William Hussey
Young, John R.
Stetson, James B. (James Burgess)
Foster, Sophie Lee
Flanagan, T. J.
Davis, Anne Pence
Singmaster, Elsie
Catherine II, Empress of Russia
Simonds, William Day
Taylor, Archer
Kearton, Richard
Lloyd, Hugh
Brooks, A. M. (Abbie M.)
Benton, Rita
O'Meara, James
Morey, Almira
Kerlin, Robert Thomas
Hartshorne, Albert
Donald, Henry W.
Manning, Emmerson Wain
Hinrichs, Charles F. A.
Sims, George R.
Boone, Cheshire Lowton
Sindall, R. W. (Robert Walter)
Sargent, Charles Sprague
Dunning, Hal
Russell, William
Pyle, Joseph Gilpin
Campbell, Archibald
Robinson, Henry
Chrisman, Oscar
Cupples, George
Eversley, G. Shaw-Lefevre (George Shaw-Lefevre), Baron
Hill, Rowland, Sir
Fonda, Arthur Isaac
Samuelson, L. H.
Thompson, Arthur R. (Arthur Ripley)
Gerrare, Wirt
Christian, Eugene
Smith, Goodwin Brooke
Serao, Matilde
Meyer, Annie Nathan
Forrester, Andrew
Jones, Daniel W. (Daniel Webster)
López de Gómara, Francisco
Tregellas, Walter H. (Walter Hawken)
Lützow, Francis, hrabe
Jordan, Charles L.
Rhoads, Samuel N. (Samuel Nicholson)
Cyrano de Bergerac
Koch, Theodore Wesley
Mouhot, Henri
Grotius, Hugo
Holt-White, W. (William)
De Carlo, Camillo
Porter, Jane
Schlesinger, Max
Karasowski, Maurycy
Hudson's Bay Company
Speck, Frank G. (Frank Gouldsmith)
Berry, James
Pelham, Camden
Newmarch, Rosa
Boulenger, George Albert
Godwin, Francis
Steinmetz, Andrew
Gates, Susa Young
Jones, H. A. (Henry Albert)
Verlaine, Paul
Morgan, John (John Hamilton)
M'Levy, James
Row, C. A. (Charles Adolphus)
La Bruyère, Jean de
Trevithick, Francis
Ward, J. H. (Joseph Harvey)
Barton, Frank Townend
Dickinson, Sidney
Morlae, Edward
Powell, Van
St. John de Crèvecoeur, J. Hector
Federal Writers' Project of the Works Progress Administration for the State of North Dakota
Power, D'Arcy, Sir
Abbott, L. A.
Gaskell, Catherine Henrietta Milnes, Lady
Holmes, Augusta Macgregor
Allen, Percy
Adams, John S. (John Stowell)
Harris, J. Henry
Cuddeback, William Louis
Bagot, Richard
Colcord, Lincoln
Bowring, John
Bourgelat, Claude
Richards, Bernard G.
Schuler, Phillip F. E. (Frederick Edward)
Allan, G. A. T. (George A. T.)
Grimaldi, Joseph
Bradley, Glenn D. (Glenn Danford)
David, William K. (William King)
Chen, Yü-Gwan
Neuhaus, Eugen
Hazelton, Harry
Park, Roswell
Wiener, Leo
Knights, Arthur E.
Evans, Cerinda W.
Symonds, Margaret
Johns, Cecil Starr
Sidgwick, Henry
Headland, Frederick William
Duras, Louise Henriette Charlotte Philippine (de Noailles) de Durfort, duchesse de
Hannay, David
Baudissin, Wolf Ernst Hugo Emil, Graf von
Fleay, Frederick Gard
Trounce, H. D. (Harry Davis)
Jones, John
Dawson, William Leon
MacKenna, Robert William
Genevoix, Maurice
Bisiker, W. (William)
Burton, Frederick R. (Frederick Russell)
Roth, Rodris
Elliott, Charles Wyllys
Browne, Edith A.
Prévost, abbé
Roth, Louis M. (Louis Marcus)
Cocks, Richard
Niecks, Frederick
Lee, W. L. Melville (William Lauriston Melville)
Fowler, Richard
Gould, W. J. D.
Whymper, Charles
Fairless, Michael
Brentwood, Evelyn
LeConte, Joseph
Allen, Edith
Deniker, Joseph
Rathgen, Friedrich
Ker, David
Crabbe, George
Dreyfus, Suelette
Rinder, Frank
Maxwell, W. H. (William Hamilton)
Jarves, Elsie Deming
Jones, Bence
Dillon, Edward
Savery, Thomas
Arber, Agnes Robertson
Orr, Lyndon
Tilling, Robert I.
McIntyre, J. Lewis (James Lewis)
Dawson, William Harbutt
Palmer, Joel
Richardson, James (Geologist)
Buchholtz, Johannes
Wägner, Wilhelm
Peake, Harold
Barr, John
Buel, James W. (James William)
Gordon, Elizabeth
Maxwell, J. (Joseph)
Seklemian, A. K.
Foster, Maximilian
Corbett, John M.
Fox, R. K. (Richard Kyle)
Palmer, Harold E.
Guerrazzi, Francesco Domenico
Thayer, Thomas P.
White, James Edson
Moncrieff, A. R. Hope (Ascott Robert Hope)
Gann, Thomas William Francis
Penrose, Charles W. (Charles William)
Skinner, John
Arrian
Atkinson, Henry
Allen, Gladys
Gautier, Judith
Aryasura
Gowing, T. (Timothy)
Gunn, Jeannie
Stanfield, James Field
Macquer, Pierre Joseph
Regnard, Jean François
Barnes-Grundy, Mabel
Britton, Sumner Charles
Marks, Harry F.
Haight, Elizabeth Hazelton
Feuerbach, Ludwig
Boddy, Evan Martlett
Loudon, Mrs. (Jane)
Wilkins, W. H. (William Henry)
Brown, Rebecca Warren
Lawrence, John
Hughes, Richard Arthur Warren
Löher, Franz von
Mahaney, Margaret
Gervinus, Georg Gottfried
Todd, James Campbell
Wood, William, active 1629-1635
Johnston, Edward
Thomson, John, hatter
Noake, John
Bliss, Sands, & Foster
Walker, A. S. (Alta Sharon)
Smith, Joseph F. (Joseph Fielding)
Dickinson, John
Klein, William Livingston
Arundell of Wardour, John Francis Arundell, Baron
Brown, Arthur Whitten, Sir
Anson, George Anson, Baron
Wolf, Simon
Beer, Margrieta
Broca, Paul
Fletcher, L. (Lazarus)
Adams, William Davenport
Murasaki Shikibu
Crouch, Humphrey, active 1635-1671
Bohr, Niels
Parish, Woodbine, Sir
Fougasse
Schenk, Samuel Leopold
Anderson, William
Hermann, Edward Adolph
Rees, James
Robinson, Phil
Mutzenberg, Charles Gustavus
French, Richard Valpy
Dodge, Walter Phelps
Monier-Williams, Monier, Sir
Philpot, J. H., Mrs.
Barnes, Frank
Tilden, Samuel J. (Samuel Jones)
Eckstein, Ernst
Swett, Samuel
Stearns, Samuel
Lee, Henry, M.D.
George, H. B. (Hereford Brooke)
Wilshin, Francis
Rogers, John Godfrey, Sir
Crandall, Lathan A. (Lathan Augustus)
Mowry, Arthur May
Merrick, George Byron
Denis, Pierre
Senior, Nassau William
Bosworth, Annie E.
Peterson, Maud Howard
Moldenke, Charles E.
Minnigh, H. N. (Henry N.)
Russell, Dora
Bushnell, Katharine C. (Katharine Caroline)
Johnstone, Herrick
Gelder, Jane (Trill) van
Wolfram, von Eschenbach, active 12th century
Malkin, Arthur Thomas
Fisher, Sophie
Radford, Ruby Lorraine
Jephson, Henry (Henry Lorenzo)
Monro, Alexander
Longmore, T. (Thomas), Sir
Jackson, William
Wellhausen, Julius
Wellwood, John
Abbott, Lemuel Abijah
Ogden, Antoinette
Vaughn, Robert
John-the-Giant-Killer
Cowley, Matthias F.
Clements, Edith S.
Shedlock, Kaye M.
Wright, Ernest Vincent
Sharp, Elizabeth A. (Elizabeth Amelia)
Winstanley, L.
Murray, Charles Augustus
Peet, Stephen D.
Guðmundur Kamban
Wright, Elizabeth Mary
Vigenère, Blaise de
Musgrove, Charles David
Hogg, Robert
Beeman, Herbert
Williams, William Leonard
Voleur, le
Cowley, Hannah
Gordon, Charles Alexander
Rippmann, Walter
Adler, Lewis H.
Gladstone, J. H.
Tibbits, Charles John
Stuart, James
Scott, A. J. L. (Alan John Lance)
Guyau, Jean-Marie
Dabney, Robert L.
Morgan, Appleton
Durning-Lawrence, Edwin, Sir
Stassen, Harold E.
Lara, D. Laurent de
Wooldridge, Clifton R.
Mackenzie, Henry
Curtis, John G.
McKinlay, Duncan E.
Edwards, John Milton
Jaros, I.
Pratt, William Edwin
Habington, William
Masson, Rosaline
Poling, Daniel A.
Thompson, Richard
Doten, Elizabeth
Rogers, W. A. (William Allen)
Slack, Rosamund
Lattimore, Ralston B.
McClymont, J.A.
Booth, William
Vallery-Radot, René
Peckham, E. G. (Elizabeth Gifford)
Trevers, Joseph
Kuser, J. Dryden
Foster, J. J.
Russell, Harold
Emerton, Ephraim
Kimball, Heber C.
Dufresny, Charles Rivière
Nelson, Loveday A.
Wraxall, Lascelles, Sir
Hill, James Jerome
Ogle, Arthur
Tweedie, W. K.
Sakurai, Tadayoshi
Moyer, Bess
Craig, B. F.
Irwin, Wallace
Wright, J. W. (Jacob William)
Graham, John W.
Bell, William Dixon
Cahun, David-Léon
Kinne, Helen
Brandes, Georg
United States Rubber Company
Olliffe, (AKA Lady Bell) Florence Eveleen Eleanore
Griswold, Latta
Drury, Dru
Nasmyth, James
Martin, Helen Reimensnyder
Robison, John
Ingledew, C. J. Davison
Bell, Gertrude Margaret Lowthian
Wyckoff, Capwell
Paynter, Mrs.
Fyfe, W. T.
Fox, William Fayette
Pickett, Thomas E.
Wood, Walter
Byers, Andrew
Hendrick, Edward P.
Clifford, Helen C.
Carver, Jonathan
Young, Stanley P.
Moore, Walter W.
Olds, Helen Diehl
Johnston, Charles H. L.
Miller, William J. (William John)
Wiggins, Frank
Carr, Herbert Wildon
Carrick, John D.
Bell, George W.
Haliburton, Robert Grant
Watson, Dorothy
Shell Union Oil Corporation
Allen, Charles Dexter
Maudslay, Anne Cary
Peel, Dorothy Constance Bayliff
Bois, Gaylord Du
Delpit, Albert
Smith, Eliza R. Snow
Grierson, J.
Winterburn, Florence Hull
Folwell, William Watts
Loudon, John Claudius
Frost, A. B. (Arthur Burdett)
Miller, Irene
Johnson, Rossiter
Percival, G. H.
Manerî, Shaikh Sharfuddîn
Bion, of Phlossa near Smyrna
Reynolds, Robert R. (Robert Rice)
McGregor, Richard
Bright, Rev. J. Franck
Grazebrook, George
Marten, Edward Bindon
Hyll, Thomas
Shearman, Sumner Upham
Phifer, Charles Lincoln
Hankin, St. John
Thompson, Seymour D. (Seymour Dwight)
Eden, Helen Parry
Colby, Henry Francis
Hutchinson, W. N. (William Nelson)
Atherton, William Henry
Germon, Maria Vincent
Little, Burtis M.
Gee, George E.
Broderick, Therese
Smith, H. Clifford
Farrar, Frederic W.
Baker, George M. (George Melville)
Ripley, William Z.
Simpson, James Y.
Hollick, Frederick
Whittemore, C. W.
Sutton, Margaret
Plongeon, Alice Dixon le
Bath, W. Harcourt
Robinson, C. H.
Kane, Elisha Kent
Dendy, Walter Cooper
Gladstone, W E
Cumming, Charles Gordon
Jewett, Charles C.
Flett, J. S.
Skeat, Walter William
Lindsay, A. D. (Alexander Dunlop)
Cloke, Harold E.
Saxton, Evelyn
Fordyce, Claude Powell
Faulds, Henry
Moore, N. Hudson
Parker, Louis Napoleon
Brearley, Harry Chase
